job_id,title,category,description,required_skills,experience_level
1,Data Scientist,Data Science,"We are looking for a Data Scientist to analyze large amounts of raw information to find patterns and build data-driven solutions. You will be responsible for building machine learning models, performing statistical analysis, and creating data visualization dashboards. The ideal candidate has strong experience with Python, SQL, and machine learning frameworks. You will work with cross-functional teams to identify business opportunities and deliver actionable insights through advanced analytics. Experience with deep learning, NLP, and cloud platforms is a plus.","Python,SQL,Machine Learning,Pandas,NumPy,Scikit-learn,TensorFlow,Statistical Analysis,Data Visualization,Tableau,Deep Learning,Feature Engineering",Mid Level
2,Junior Data Scientist,,"We are looking for a Data Scientist to analyze large amounts of raw information to find patterns and build data-driven solutions. You will be responsible for building machine learning models, performing statistical analysis, and creating data visualization dashboards. The ideal candidate has strong experience with Python, SQL, and machine learning frameworks. You will work with cross-functional teams to identify business opportunities and deliver actionable insights through advanced analytics. Experience with deep learning, NLP, and cloud platforms is a plus. Remote-friendly position with competitive benefits.","Python,SQL,Machine Learning,Pandas,NumPy,Scikit-learn,TensorFlow,Statistical Analysis,Data Visualization,Tableau,Deep Learning,Feature Engineering",Entry Level
3,Staff Data Scientist,,"We are looking for a Data Scientist to analyze large amounts of raw information to find patterns and build data-driven solutions. You will be responsible for building machine learning models, performing statistical analysis, and creating data visualization dashboards. The ideal candidate has strong experience with Python, SQL, and machine learning frameworks. You will work with cross-functional teams to identify business opportunities and deliver actionable insights through advanced analytics. Experience with deep learning, NLP, and cloud platforms is a plus. Work with cutting-edge technologies in a collaborative environment.","Python,SQL,Machine Learning,Pandas,NumPy,Scikit-learn,TensorFlow,Statistical Analysis,Data Visualization,Tableau,Deep Learning,Feature Engineering",Senior
4,Senior Data Scientist,Data Science,"As a Senior Data Scientist, you will lead complex analytics projects from inception to deployment. You will design and implement machine learning pipelines, mentor junior team members, and collaborate with product teams to drive data-informed decision making. Strong expertise in Python, advanced statistics, and production ML systems is required. Experience with A/B testing, causal inference, and deploying models at scale using cloud services (AWS/GCP) is essential. You will present findings to senior leadership and influence strategic direction.","Python,SQL,Machine Learning,Deep Learning,TensorFlow,PyTorch,Apache Spark,AWS,A/B Testing,Statistical Analysis,Data Visualization,Leadership,Communication",Senior
5,Junior Data Scientist,,"As a Senior Data Scientist, you will lead complex analytics projects from inception to deployment. You will design and implement machine learning pipelines, mentor junior team members, and collaborate with product teams to drive data-informed decision making. Strong expertise in Python, advanced statistics, and production ML systems is required. Experience with A/B testing, causal inference, and deploying models at scale using cloud services (AWS/GCP) is essential. You will present findings to senior leadership and influence strategic direction. Great opportunity for career growth and learning.","Python,SQL,Machine Learning,Deep Learning,TensorFlow,PyTorch,Apache Spark,AWS,A/B Testing,Statistical Analysis,Data Visualization,Leadership,Communication",Lead
6,Junior Data Scientist,,"As a Senior Data Scientist, you will lead complex analytics projects from inception to deployment. You will design and implement machine learning pipelines, mentor junior team members, and collaborate with product teams to drive data-informed decision making. Strong expertise in Python, advanced statistics, and production ML systems is required. Experience with A/B testing, causal inference, and deploying models at scale using cloud services (AWS/GCP) is essential. You will present findings to senior leadership and influence strategic direction. Remote-friendly position with competitive benefits.","Python,SQL,Machine Learning,Deep Learning,TensorFlow,PyTorch,Apache Spark,AWS,A/B Testing,Statistical Analysis,Data Visualization,Leadership,Communication",Entry Level
7,Junior Data Analyst,Data Science,"Entry-level position for a Data Analyst to support our analytics team. You will assist in data collection, cleaning, and analysis using SQL and Python. Create reports and dashboards using Tableau or Power BI. The ideal candidate has basic knowledge of statistics, Excel, and data visualization. Strong attention to detail and willingness to learn are essential.","SQL,Python,Excel,Tableau,Statistical Analysis,Data Visualization,Pandas,Communication",Entry Level
8,Senior Data Analyst,,"Entry-level position for a Data Analyst to support our analytics team. You will assist in data collection, cleaning, and analysis using SQL and Python. Create reports and dashboards using Tableau or Power BI. The ideal candidate has basic knowledge of statistics, Excel, and data visualization. Strong attention to detail and willingness to learn are essential. Hybrid work model with flexible hours available.","SQL,Python,Excel,Tableau,Statistical Analysis,Data Visualization,Pandas,Communication",Senior
9,Lead Data Analyst,,"Entry-level position for a Data Analyst to support our analytics team. You will assist in data collection, cleaning, and analysis using SQL and Python. Create reports and dashboards using Tableau or Power BI. The ideal candidate has basic knowledge of statistics, Excel, and data visualization. Strong attention to detail and willingness to learn are essential. Remote-friendly position with competitive benefits.","SQL,Python,Excel,Tableau,Statistical Analysis,Data Visualization,Pandas,Communication",Lead
10,Python Backend Developer,Python Developer,"We are seeking a Python Backend Developer to build scalable server-side applications. You will design and implement RESTful APIs using Django or Flask, work with PostgreSQL databases, and deploy applications using Docker and AWS. Strong understanding of software design patterns, testing, and version control with Git is required. Experience with asynchronous programming, message queues, and microservices architecture is preferred.","Python,Django,Flask,REST API,PostgreSQL,Docker,AWS,Git,SQL,Unit Testing,Redis,Linux",Mid Level
11,Python Backend Developer,,"We are seeking a Python Backend Developer to build scalable server-side applications. You will design and implement RESTful APIs using Django or Flask, work with PostgreSQL databases, and deploy applications using Docker and AWS. Strong understanding of software design patterns, testing, and version control with Git is required. Experience with asynchronous programming, message queues, and microservices architecture is preferred. Join our fast-growing team in this exciting role.","Python,Django,Flask,REST API,PostgreSQL,Docker,AWS,Git,SQL,Unit Testing,Redis,Linux",Lead
12,Staff Python Backend Developer,,"We are seeking a Python Backend Developer to build scalable server-side applications. You will design and implement RESTful APIs using Django or Flask, work with PostgreSQL databases, and deploy applications using Docker and AWS. Strong understanding of software design patterns, testing, and version control with Git is required. Experience with asynchronous programming, message queues, and microservices architecture is preferred. Work with cutting-edge technologies in a collaborative environment.","Python,Django,Flask,REST API,PostgreSQL,Docker,AWS,Git,SQL,Unit Testing,Redis,Linux",Lead
